id,name,lastname,price,flycode,typePassenger,statusFlight
160,Abbie,Espinoza,25000.000000,TU6789B,ejecutiva,Aterrizado
426,Abbot,Maldonado,33000.000000,HY4567D,economica,Demorado
382,Abigail,Torres,18000.000000,HY4567D,economica,Demorado
252,Addia,Molina,20000.000000,TU6789B,economica,Aterrizado
104,Addy,Campos,33000.000000,IB0800A,economica,Aterrizado
475,Adelaida,Bravo,37000.000000,FR5678G,ejecutiva,En Horario
511,Adelle,Donoso,10000.000000,FR5678G,economica,En Horario
352,Adrianne,Bustos,10000.000000,HY4567D,premium,Demorado
337,Aeriela,Saavedra,37000.000000,GU2345F,economica,En Vuelo
234,Ag,Flores,50000.000000,TU6789B,economica,Aterrizado
576,Agustin,Maldonado,25000.000000,BR3456J,economica,Demorado
217,Aldric,Guerrero,50000.000000,TU6789B,economica,Aterrizado
274,Alexandr,Godoy,18000.000000,GU2345F,ejecutiva,En Vuelo
146,Alexandra,Romero,42000.000000,TU6789B,premium,Aterrizado
21,Alfredo,Rivera,10000.000000,MM0987B,premium,En Horario
489,Almira,Aguilera,42000.000000,FR5678G,economica,En Horario
523,Alonzo,Navarro,12000.000000,FR5678G,economica,En Horario
429,Alverta,Pino,25000.000000,HY4567D,economica,Demorado
556,Alysia,Orellana,37000.000000,MM0987B,economica,En Horario
502,Andrei,Bustos,10000.000000,FR5678G,economica,En Horario
225,Andy,Ramos,37000.000000,TU6789B,economica,Aterrizado
551,Anetta,Vera,10000.000000,MM0987B,economica,En Horario
504,Angeli,Pino,20000.000000,FR5678G,economica,En Horario
601,Angelia,Moreno,50000.000000,MM0987B,economica,En Horario
57,Angie,Sanhueza,20000.000000,MM0987B,premium,En Horario
233,Anna-maria,Araya,42000.000000,TU6789B,economica,Aterrizado
358,Annabell,Carvajal,15000.000000,HY4567D,premium,Demorado
540,Annamarie,Castro,20000.000000,FR5678G,economica,En Horario
591,Ansley,Venegas,37000.000000,BR3456J,economica,Demorado
267,Any,Aravena,18000.000000,GU2345F,premium,En Vuelo
569,Arabel,Leiva,50000.000000,IB0800A,economica,Aterrizado
454,Arch,Silva,33000.000000,FR5678G,premium,En Horario
159,Arel,Flores,30000.000000,TU6789B,ejecutiva,Aterrizado
431,Ariella,Moreno,12000.000000,HY4567D,economica,Demorado
406,Arlette,Orellana,30000.000000,HY4567D,economica,Demorado
590,Arley,Ortega,33000.000000,BR3456J,economica,Demorado
391,Arlie,Pizarro,42000.000000,HY4567D,economica,Demorado
88,Armand,Tapia,15000.000000,IB0800A,economica,Aterrizado
281,Arnaldo,Moreno,10000.000000,GU2345F,ejecutiva,En Vuelo
131,Asia,Moreno,37000.000000,TU6789B,premium,Aterrizado
602,Atalanta,Romero,37000.000000,MM0987B,economica,En Horario
142,Aylmer,Guerrero,33000.000000,TU6789B,premium,Aterrizado
338,Babbie,Navarro,15000.000000,GU2345F,economica,En Vuelo
247,Babita,Figueroa,30000.000000,TU6789B,economica,Aterrizado
534,Bailey,Flores,30000.000000,FR5678G,economica,En Horario
466,Barbey,Pizarro,20000.000000,FR5678G,ejecutiva,En Horario
530,Barbey,Morales,12000.000000,FR5678G,economica,En Horario
237,Barret,Castillo,10000.000000,MM0987B,ejecutiva,En Horario
169,Bartel,Jara,37000.000000,TU6789B,ejecutiva,Aterrizado
295,Bartholomew,Moreno,33000.000000,GU2345F,economica,En Vuelo
359,Basil,Navarrete,12000.000000,HY4567D,premium,Demorado
11,Bellanca,Valenzuela,15000.000000,BA2491A,premium,Aterrizado
35,Bernardine,Garrido,33000.000000,MM0987B,premium,En Horario
405,Beverlee,Sandoval,25000.000000,HY4567D,economica,Demorado
301,Bibbie,Rojas,37000.000000,GU2345F,economica,En Vuelo
307,Bird,Torres,18000.000000,MM0987B,economica,En Horario
158,Blair,Araya,50000.000000,TU6789B,ejecutiva,Aterrizado
12,Bobbye,Castillo,15000.000000,BA2491A,premium,Aterrizado
165,Bond,Castro,10000.000000,TU6789B,ejecutiva,Aterrizado
204,Booth,Pino,15000.000000,TU6789B,economica,Aterrizado
394,Boothe,Jara,12000.000000,HY4567D,economica,Demorado
128,Borden,Medina,12000.000000,TU6789B,premium,Aterrizado
456,Boycie,Fuentes,18000.000000,FR5678G,premium,En Horario
1,Brade,Rojas,20000.000000,MM0987B,premium,En Horario
15,Braden,Castro,25000.000000,MM0987B,premium,En Horario
24,Bradney,Miranda,25000.000000,BA2491A,ejecutiva,Aterrizado
5,Brandea,Morales,15000.000000,IB0800A,premium,Aterrizado
105,Brandon,Sandoval,18000.000000,IB0800A,economica,Aterrizado
264,Brietta,Aguilera,42000.000000,GU2345F,premium,En Vuelo
227,Brigg,Soto,10000.000000,BA2491A,economica,Aterrizado
547,Brittany,Figueroa,18000.000000,MM0987B,economica,En Horario
23,Brnaba,Riquelme,30000.000000,MM0987B,premium,En Horario
189,Brnaba,Aguilera,37000.000000,TU6789B,economica,Aterrizado
147,Broddie,Alonso,42000.000000,TU6789B,ejecutiva,Aterrizado
6,Bronnie,Fuentes,20000.000000,MM0987B,premium,En Horario
81,Brynn,Fuentes,50000.000000,BA2491A,ejecutiva,Aterrizado
464,Brynne,Reyes,18000.000000,FR5678G,ejecutiva,En Horario
220,Buddy,Moreno,50000.000000,TU6789B,economica,Aterrizado
320,Bunnie,Vergara,33000.000000,GU2345F,economica,En Vuelo
413,Burgess,Navarro,12000.000000,HY4567D,economica,Demorado
589,Burty,Toro,12000.000000,BR3456J,economica,Demorado
148,Cal,Navarro,42000.000000,TU6789B,ejecutiva,Aterrizado
507,Cale,Sanhueza,50000.000000,FR5678G,economica,En Horario
